,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,c,1,ニコラス・バシラシビリ,柱,1.0,208,1,201809メス,×,0,0,Deuce,0,1
1,1,,w,2,ニコラス・バシラシビリ,柱,1.0,165,1,201809メス,×,0,15,Ad,0,1
2,2,,w,1,ニコラス・バシラシビリ,柱,1.0,177,1,201809メス,×,0,30,Deuce,0,1
3,3,,c,2,ニコラス・バシラシビリ,柱,1.0,183,1,201809メス,○,0,40,Ad,1,0
4,4,,c,2,ニコラス・バシラシビリ,柱,1.0,182,1,201809メス,○,15,40,Deuce,1,0
5,5,,w,1,ニコラス・バシラシビリ,柱,1.0,196,1,201809メス,○,30,40,Ad,1,0
6,6,Ac,c,1,ニコラス・バシラシビリ,柱,1.0,197,1,201809メス,×,40,40,Deuce,0,1
7,7,,w,2,ニコラス・バシラシビリ,柱,1.0,165,1,201809メス,○,40,Ad,Ad,1,0
8,11,,c,1,ニコラス・バシラシビリ,柱,1.0,191,1,201809メス,×,Ad,40,Ad,0,1
9,16,,c,1,ニコラス・バシラシビリ,柱,1.0,208,1,201809メス,×,,,Deuce,0,1
10,32,,b,1,ニコラス・バシラシビリ,圭,1.0,,2,201809メス,○,0,0,Deuce,1,0
11,33,,w,2,ニコラス・バシラシビリ,圭,1.0,148,2,201809メス,○,15,0,Ad,1,0
12,34,,c,2,ニコラス・バシラシビリ,圭,1.0,,2,201809メス,○,30,0,Deuce,1,0
13,35,,w,1,ニコラス・バシラシビリ,圭,1.0,192,2,201809メス,○,40,0,Ad,1,0
14,56,,w,1,ニコラス・バシラシビリ,柱,1.0,182,3,201809メス,○,0,0,Deuce,1,0
15,57,,w,2,ニコラス・バシラシビリ,柱,1.0,152,3,201809メス,○,15,0,Ad,1,0
16,58,,c,1,ニコラス・バシラシビリ,柱,1.0,,3,201809メス,×,30,0,Deuce,0,1
17,59,,c,1,ニコラス・バシラシビリ,柱,1.0,200,3,201809メス,○,30,15,Ad,1,0
18,60,Aw,w,1,ニコラス・バシラシビリ,柱,1.0,177,3,201809メス,×,40,15,Deuce,0,1
19,61,,w,1,ニコラス・バシラシビリ,柱,1.0,202,3,201809メス,×,40,30,Ad,0,1
20,62,,c,2,ニコラス・バシラシビリ,柱,1.0,173,3,201809メス,○,40,40,Deuce,1,0
21,63,,w,1,ニコラス・バシラシビリ,柱,1.0,191,3,201809メス,×,Ad,40,Ad,0,1
22,96,Aw,w,1,ニコラス・バシラシビリ,圭,1.0,168,4,201809メス,○,0,0,Deuce,1,0
23,97,,w,2,ニコラス・バシラシビリ,圭,1.0,148,4,201809メス,×,15,0,Ad,0,1
24,98,,c,1,ニコラス・バシラシビリ,圭,1.0,,4,201809メス,○,15,15,Deuce,1,0
25,99,Ac,c,1,ニコラス・バシラシビリ,圭,1.0,188,4,201809メス,○,30,15,Ad,1,0
26,100,,b,2,ニコラス・バシラシビリ,圭,1.0,,4,201809メス,×,40,15,Deuce,0,1
27,101,,w,2,ニコラス・バシラシビリ,圭,1.0,151,4,201809メス,○,40,30,Ad,1,0
28,138,,b,1,ニコラス・バシラシビリ,柱,1.0,191,5,201809メス,○,0,0,Deuce,1,0
29,139,,w,1,ニコラス・バシラシビリ,柱,1.0,167,5,201809メス,×,15,0,Ad,0,1
30,140,,c,2,ニコラス・バシラシビリ,柱,1.0,186,5,201809メス,×,15,15,Deuce,0,1
31,141,,w,2,ニコラス・バシラシビリ,柱,1.0,147,5,201809メス,×,15,30,Ad,0,1
32,142,Im,w,1,ニコラス・バシラシビリ,柱,1.0,177,5,201809メス,×,15,40,Deuce,0,1
33,184,,c,2,ニコラス・バシラシビリ,圭,1.0,,6,201809メス,○,0,0,Deuce,1,0
34,185,,w,1,ニコラス・バシラシビリ,圭,1.0,145,6,201809メス,○,15,0,Ad,1,0
35,186,,b,1,ニコラス・バシラシビリ,圭,1.0,,6,201809メス,○,30,0,Deuce,1,0
36,187,Im,w,2,ニコラス・バシラシビリ,圭,1.0,155,6,201809メス,○,40,0,Ad,1,0
37,233,,w,1,ニコラス・バシラシビリ,柱,1.0,182,7,201809メス,×,0,0,Deuce,0,1
38,234,,w,1,ニコラス・バシラシビリ,柱,1.0,172,7,201809メス,○,0,15,Ad,1,0
39,235,,c,2,ニコラス・バシラシビリ,柱,1.0,172,7,201809メス,×,15,15,Deuce,0,1
40,236,,w,2,ニコラス・バシラシビリ,柱,1.0,154,7,201809メス,×,15,30,Ad,0,1
41,237,Do,o,2,ニコラス・バシラシビリ,柱,1.0,,7,201809メス,○,15,40,Deuce,1,0
42,238,,w,1,ニコラス・バシラシビリ,柱,1.0,195,7,201809メス,○,30,40,Ad,1,0
43,239,,w,2,ニコラス・バシラシビリ,柱,1.0,177,7,201809メス,×,40,40,Deuce,0,1
44,240,Im,c,1,ニコラス・バシラシビリ,柱,1.0,193,7,201809メス,×,40,Ad,Ad,0,1
45,294,,w,1,ニコラス・バシラシビリ,圭,1.0,,8,201809メス,○,0,0,Deuce,1,0
46,295,Aw,w,1,ニコラス・バシラシビリ,圭,1.0,194,8,201809メス,○,15,0,Ad,1,0
47,296,,w,1,ニコラス・バシラシビリ,圭,1.0,179,8,201809メス,○,30,0,Deuce,1,0
48,297,Ac,c,1,ニコラス・バシラシビリ,圭,1.0,,8,201809メス,○,40,0,Ad,1,0
49,355,,c,a,ニコラス・バシラシビリ,柱,1.0,179,9,201809メス,×,0,0,Deuce,0,1
50,356,,w,1,ニコラス・バシラシビリ,柱,1.0,,9,201809メス,○,0,15,Ad,1,0
51,357,,a,2,ニコラス・バシラシビリ,柱,1.0,,9,201809メス,×,15,15,Deuce,0,1
52,358,,w,1,ニコラス・バシラシビリ,柱,1.0,,9,201809メス,○,15,30,Ad,1,0
53,359,Dn,n,2,ニコラス・バシラシビリ,柱,1.0,,9,201809メス,○,30,30,Deuce,1,0
54,360,,w,2,ニコラス・バシラシビリ,柱,1.0,156,9,201809メス,×,40,30,Ad,0,1
55,361,,c,1,ニコラス・バシラシビリ,柱,1.0,194,9,201809メス,×,40,40,Deuce,0,1
56,362,,w,1,ニコラス・バシラシビリ,柱,1.0,,9,201809メス,○,40,Ad,Ad,1,0
57,364,,w,1,ニコラス・バシラシビリ,柱,1.0,184,9,201809メス,×,Ad,40,Ad,0,1
58,367,,w,1,ニコラス・バシラシビリ,柱,1.0,175,9,201809メス,○,,,Deuce,1,0
59,0,,c,1,ニコラス・バシラシビリ,圭,2.0,,1,201809メス,○,0,0,Deuce,1,0
60,1,,w,2,ニコラス・バシラシビリ,圭,2.0,144,1,201809メス,×,15,0,Ad,0,1
